Year,School,gradTotal,Type,Ownership
109,國立臺北商業大學,99,Tech,Public
109,國立臺北大學,457,General,Public
109,國立臺北教育大學,293,General,Public
109,國立臺北科技大學,1252,Tech,Public
109,國立臺北藝術大學,199,General,Public
109,國立臺北護理健康大學,148,Tech,Public
109,國立臺南大學,201,General,Public
109,國立臺南藝術大學,123,General,Public
109,國立臺東大學,76,General,Public
109,國立臺灣大學,3711,General,Public
109,國立臺灣師範大學,1185,General,Public
109,國立臺灣海洋大學,543,General,Public
109,國立臺灣科技大學,1547,Tech,Public
109,國立臺灣藝術大學,152,General,Public
109,國立臺灣體育運動大學,58,General,Public
109,國立虎尾科技大學,355,Tech,Public
109,國立金門大學,81,General,Public
109,國立陽明交通大學,2478,General,Public
109,國立雲林科技大學,717,Tech,Public
109,國立體育大學,96,General,Public
109,國立高雄大學,217,General,Public
109,國立高雄師範大學,296,General,Public
109,國立高雄科技大學,938,Tech,Public
109,國立高雄餐旅大學,60,Tech,Public
109,大仁科技大學,14,Tech,Private
109,大同大學,94,General,Private
109,大漢技術學院,17,Tech,Private
109,大葉大學,230,General,Private
109,實踐大學,102,General,Private
109,崇右影藝科技大學,24,Tech,Private
109,崑山科技大學,140,Tech,Private
109,嶺東科技大學,88,Tech,Private
109,康寧大學,7,General,Private
109,建國科技大學,61,Tech,Private
109,弘光科技大學,57,Tech,Private
109,德明財經科技大學,5,Tech,Private
109,慈濟大學,81,General,Private
109,慈濟科技大學,14,Tech,Private
109,敏實科技大學,1,Tech,Private
109,文藻外語大學,28,Tech,Private
109,明志科技大學,195,Tech,Private
109,明新科技大學,95,Tech,Private
109,明道大學,29,General,Private
109,景文科技大學,10,Tech,Private
109,朝陽科技大學,226,Tech,Private
109,東南科技大學,36,Tech,Private
109,東吳大學,317,General,Private
109,東方設計大學,22,Tech,Private
109,東海大學,330,General,Private
109,樹德科技大學,90,Tech,Private
109,正修科技大學,154,Tech,Private
109,法鼓文理學院,39,General,Private
109,淡江大學,599,General,Private
109,玄奘大學,43,General,Private
109,環球科技大學,47,Tech,Private
109,真理大學,28,General,Private
109,德育護理健康學院,8,Tech,Private
109,美和科技大學,17,Tech,Private
109,義守大學,148,General,Private
109,聖約翰科技大學,26,Tech,Private
109,育達科技大學,29,Tech,Private
109,致理科技大學,12,Tech,Private
109,臺北城市科技大學,25,Tech,Private
109,臺北醫學大學,243,General,Private
109,華夏科技大學,10,Tech,Private
109,華梵大學,48,General,Private
109,萬能科技大學,43,Tech,Private
109,輔仁大學,563,General,Private
109,輔英科技大學,38,Tech,Private
109,逢甲大學,599,General,Private
109,遠東科技大學,83,Tech,Private
109,醒吾科技大學,17,Tech,Private
109,銘傳大學,218,General,Private
109,長庚大學,390,General,Private
109,長庚科技大學,20,Tech,Private
109,長榮大學,104,General,Private
109,開南大學,77,General,Private
109,靜宜大學,179,General,Private
109,馬偕醫學院,13,General,Private
109,台鋼科技大學,16,Tech,Private
109,高雄醫學大學,240,General,Private
109,龍華科技大學,68,Tech,Private
110,世新大學,179,General,Private
110,中信金融管理學院,60,General,Private
110,中原大學,592,General,Private
110,中國文化大學,311,General,Private
110,中國科技大學,30,Tech,Private
110,中國醫藥大學,202,General,Private
110,中山醫學大學,178,General,Private
110,中州科技大學,3,Tech,Private
110,中臺科技大學,43,Tech,Private
110,中華大學,138,General,Private
110,中華科技大學,76,Tech,Private
110,中華醫事科技大學,24,Tech,Private
110,亞東科技大學,13,Tech,Private
110,亞洲大學,195,General,Private
110,佛光大學,120,General,Private
110,修平科技大學,27,Tech,Private
110,健行科技大學,104,Tech,Private
110,僑光科技大學,9,Tech,Private
110,元培醫事科技大學,60,Tech,Private
110,元智大學,278,General,Private
